OpenDate,Symbol,BuyPrice,AdjPrice,OrigValue,OrigOutlook,Shares,CurrentDate,CurrentPrice,CurrentValue,Buytext,BuyPoint,Open,GainLoss,TrailStop,TrailMax,Outlook
3/17/2009 0:00,CPSI,29.94,24.61,265788,uptrend,10800,4/29/2009 0:00,29.78,321624,Could be forming handle w/28.53 buy pt in 4-mos base.,28.53,closed,55836,off,0,
3/23/2009 0:00,NTES,24.07,22.98,266568,uptrend,11600,4/13/2009 0:00,27.81,322596,"Clears left side buy point of 23.02, then recants.",23.02,closed,56028,off,0,
4/14/2009 0:00,OTEX,35.85,17.59,265609,uptrend,15100,4/21/2009 0:00,16.36,247036,Passes buy point for handle in cup base with 35.24 buy point.,35.24,closed,-18573,off,0,
4/29/2009 0:00,CFL,26.42,26.34,266034,uptrend,10100,8/3/2009 0:00,31.87,321887,7% past 25.82 buy point after breakout from cup w/handle.,25.82,closed,55853,off,0,
5/8/2009 0:00,RKT,38.14,35.86,265364,uptrend,7400,5/13/2009 0:00,33.35,246790,4% past 36.99 buy pt in 7-month double-bottom base.,36.99,closed,-18574,off,0,
6/16/2009 0:00,HMSY,38.51,12.83,265581,uptrend,20700,8/7/2009 0:00,11.93,246951,Cup-with-high handle may be base on base; 38.38 buy pt.,38.38,closed,-18630,off,0,
6/24/2009 0:00,HWKN,21.86,19.75,266625,uptrend,13500,7/13/2009 0:00,18.37,247995,Clears 21.63 buy point in solid vol from bounce off 10-week.,21.63,closed,-18630,off,0,
7/16/2009 0:00,CTRN,29.1,29.03,264173,uptrend,9100,7/20/2009 0:00,27,245700,"Forming new base w/possible 27.74 buy pt, 10-wk support.",27.74,closed,-18473,off,0,
7/20/2009 0:00,FFIV,37.04,37.04,262984,uptrend,7100,8/17/2009 0:00,34.45,244595,Just below 36.38 buy point in a shallow consolidation.,36.38,closed,-18389,off,0,
8/4/2009 0:00,HGG,19.53,19.49,265064,uptrend,13600,8/14/2009 0:00,18.13,246568,Having trouble clearing base with 19.20 buy point.,19.2,closed,-18496,off,0,
8/14/2009 0:00,VIT,16.25,16.25,266500,uptrend,16400,8/17/2009 0:00,15.11,247804,Below 15.60 buy pt from pullback; weekly downside reversal.,15.6,closed,-18696,off,0,
